"Id","SalePrice"
1461,126515.075066667
1462,151143.271466667
1463,182252.2349
1464,185267.570866667
1465,197367.211266667
1466,183425.449038095
1467,172837.927333333
1468,176426.2635
1469,177400.074833333
1470,127223.657066667
1471,190083.375933333
1472,96263.4701666667
1473,100152.730033333
1474,152572.102633333
1475,131933.6896
1476,384208.180566666
1477,262897.092433333
1478,305056.442633333
1479,288653.610333333
1480,469582.188866667
1481,309831.571633333
1482,211243.117966667
1483,180311.086166667
1484,171845.1806
1485,175050.201333333
1486,200341.0747
1487,323433.4116
1488,237457.351166667
1489,211522.7712
1490,214796.8567
1491,191920.633333333
1492,106532.090266667
1493,172205.0945
1494,306023.3086
1495,296973.721633333
1496,233580.1114
1497,191545.118133333
1498,155813.7702
1499,154703.664
1500,164908.045066667
1501,175209.921033333
1502,161202.3502
1503,277647.320166667
1504,231180.0799
1505,221345.591966667
1506,188650.887666667
1507,238561.836366667
1508,196219.6833
1509,164834.1436
1510,150787.719633333
1511,149359.771833333
1512,164399.667
1513,144651.454833333
1514,153148.8074
1515,189417.801833333
1516,157270.919566667
1517,151052.405333333
1518,133104.445866667
1519,206929.1972
1520,137798.47
1521,143325.837633333
1522,160878.894666667
1523,120435.780133333
1524,124655.987966667
1525,125723.6756
1526,128924.254366667
1527,108872.3698
1528,130235.439366667
1529,145040.014
1530,163182.683166667
1531,131496.572766667
1532,108785.571766667
1533,138922.324266667
1534,115434.9267
1535,148461.739466667
1536,119825.603933333
1537,90728.7843
1538,161685.9778
1539,217971.4839
1540,117844.066533333
1541,140716.194566667
1542,143685.324233333
1543,185163.268033333
1544,88218.3497
1545,105596.486166667
1546,123516.1846
1547,139201.703166667
1548,133214.5244
1549,113603.868566667
1550,147175.402433333
1551,120651.578133333
1552,140371.268966667
1553,143829.0403
1554,114785.737433333
1555,179278.7685
1556,126483.711933333
1557,129124.231166667
1558,103134.1096
1559,123335.596066667
1560,149453.6796
1561,147851.991766667
1562,126876.5352
1563,125875.474966667
1564,157726.642766667
1565,156219.461433333
1566,223972.660033333
1567,91403.7822
1568,224421.7004
1569,146383.155966667
1570,130989.294833333
1571,129602.680566667
1572,143110.276366667
1573,219889.6876
1574,123264.878533333
1575,211599.475366667
1576,225899.5488
1577,203376.201566667
1578,152433.1393
1579,143998.555433333
1580,190490.772033333
1581,146056.553866667
1582,130252.7018
1583,312011.776033333
1584,238997.681566667
1585,141074.936914286
1586,78931.7523333333
1587,102184.2457
1588,144843.4794
1589,97587.1480999999
1590,130867.019266667
1591,105852.561633333
1592,133345.615733333
1593,125843.285733333
1594,142265.599033333
1595,131881.639966667
1596,234622.7841
1597,187311.752
1598,192129.4669
1599,185589.921866667
1600,183801.323633333
1601,76960.7065666666
1602,110861.731933333
1603,95967.6711666667
1604,281310.5712
1605,240882.143866667
1606,166406.734666667
1607,165522.507333333
